keys,zh,en,cht,yue,wyw,jp,kor,spa,fra,th,ara,ru,pt,de,it,el,nl,pl,bul,est,dan,fin,cs,rom,slo,swe,hu,vie
CLEAR,清除,Clear,清楚的,清楚嘅,明矣。,クリア,지우기,Borrar,Effacer,ล้าง,مسح,Очистить,Limpar,Löschen,Cancella,Καθαρισμός,Verwijder,Wyczyść,Изчисти,Puhasta,Ryd,Tyhjennä,Vymazat,Curge,Počisti,Rensa,Tisztítás,Xóa
NEXT_WAVE_COUNTDOWN,下一波倒计时,Next Wave Countdown,下一波倒數計時,下一波倒数计时,其一言而商计，,次の波カウントダウン,다음 파도 카운트다운,Cuenta atrás de la próxima ola,Compte à rebours de la vague suivante,นับถอนคลื่นถัดไป,الموجة التالية العد التنازلي,Следующая волна Отсчет,Contagem regressiva da próxima onda,Nächste Welle Countdown,Conto alla rovescia dell'onda successiva,Επόμενο κύμα Countdown,Volgende golf Countdown,Następna Fala Odliczanie,Следваща вълна Отброяване,Järgmine laine tagasilaskmine,Næste bølge nedtælling,Seuraava aalto Countdown,Další Odpočítání vlny,Numărătoarea inversă a valului următor,Naslednje odštevanje valov,Nästa våg nedräkning,Következő hullám visszaszámlálás,Đếm ngược sóng tiếp theo
START_NEXT_WAVE,立即开启下一波,Start Next Wave,開始下一波,开始下一波,始下一波。,次の波を始める,다음 파도 시작,Iniciar la próxima ola,Démarrer la prochaine vague,เริ่มคลื่นถัดไป,ابدأ الموجة التالية,Начать следующую волну,Iniciar a próxima onda,Starten Sie die nächste Welle,Inizia la prossima onda,Ξεκινήστε το επόμενο κύμα,Volgende golf starten,Rozpocznij następną falę,Започни следващата вълна,Alusta järgmist lainet,Start næste bølge,Aloita seuraava aalto,Spustit další vlnu,Începe următorul val,Začni naslednji val,Starta nästa våg,Következő hullám indítása,Bắt đầu sóng tiếp theo
REMAINING_ENEMIES,剩余怪物,Remaining Enemies,剩餘敵人,剩余敌人,余敌有余,残りの敵,남은 적들,Enemigos restantes,ennemis restants,ศัตรูที่เหลือ,الأعداء المتبقين,Оставшиеся враги,inimigos restantes,Überlebende Feinde,Rimanenti nemici,Οι εναπομείναντες εχθροί,Overgebleven vijanden,Pozostali wrogowie,Останали врагове,Jäänud vaenlased,De resterende fjender,Jäljellä olevat viholliset,Zbývající nepřátelé,Duşmani rămaşi,Preostali sovražniki,återstående fiender,Maradó ellenségek,Kẻ thù còn lại
GAME_START_COUNTDOWN,游戏开始倒计时,Game Start Countdown,遊戲開始倒數計時,游戏开始倒数计时,戏始虑其计，,ゲーム開始カウントダウン,게임 시작 카운트다운,Comenzar la cuenta atrás del juego,Démarrage du jeu Compte à rebours,เกมเริ่มนับถอยลง,لعبة بدء العد التنازلي,Начало игры Обратный отсчет,Jogo Iniciar Contagem regressiva,Spiel Start Countdown,Gioco Avvia il conto alla rovescia,Παιχνίδι Start Countdown,Spel Start Countdown,Rozpocznij odliczanie gry,Стартиране на обратното броене на играта,Mängu algus tagasilaske,Spil Start Nedtælling,Pelin aloittaminen,Zahájení odpočítávání hry,Jocul începe numărarea inversă,Odštevanje začetka igre,Spel Starta nedräkningen,Játék indítása visszaszámlálás,Trò chơi bắt đầu đếm ngược
CONTINUE_GAME,继续游戏,Continue Game,繼續遊戲,继续玩,戏续。,ゲームを続ける,게임 계속,Continuar Juego,Continuer le jeu,ต่อเกม,تابع اللعبة,Продолжать игру,Continuar Jogo,Spiel fortsetzen,Continua il gioco,Συνεχίστε το παιχνίδι,Doorgaan Spel,Kontynuuj grę,Продължаване на играта,Jätka mängu,Fortsæt spillet,Jatka peliä,Pokračovat ve hře,Continuă jocul,Nadaljuj igro,Fortsätt spelet,Játék folytatása,Tiếp tục trò chơi
RESTART_LEVEL,重新开始当前关卡,Restart Current Level,重新啟動當前級別,当前级别重新启动,初则被班①,現在のレベルを再起動,현재 레벨을 다시 시작,Reiniciar el nivel actual,Redémarrer le niveau actuel,เริ่มต้นระดับปัจจุบันใหม่,إعادة تشغيل المستوى الحالي,Перезапустить текущий уровень,Reiniciar o nível atual,Aktuelle Ebene neu starten,Riavvia il livello corrente,Επανεκκίνηση τρέχοντος επιπέδου,Huidig niveau opnieuw starten,Restartuj bieżący poziom,Престартиране на текущото ниво,Käivita praegune tase uuesti,Genstart nuværende niveau,Käynnistä nykyinen taso uudelleen,Restartovat aktuální úroveň,Reporniți nivelul curent,Ponovno zaženi trenutno raven,Starta om nuvarande nivå,Indítsa újra az aktuális szintet,Khởi động lại cấp hiện tại
MAIN_MENU,主界面菜单,Main Menu,主菜單,主菜单,菜单主独贤，,メインメニュー,메인 메뉴,Menú principal,Menu principal,เมนูหลัก,القائمة الرئيسية,Главное меню,Menu principal,Hauptmenü,Menù principale,Κύριο μενού,Hoofdmenu,Menu główne,Главно меню,Peamenüü,Hovedmenuen,Päävalikko,Hlavní menu,Meniul principal,Glavni meni,Huvudmeny,Főmenü,Thực đơn chính
BACK_TO_LEVEL_SELECT,返回关卡选择,Back to Level Select,返回級別選擇,返回级别拣,还班择,レベル選択へ戻る,레벨 선택으로 돌아가기,Volver a Seleccionar nivel,Retour au niveau Sélectionner,กลับไปที่เลือกระดับ,العودة إلى المستوى,Вернуться к Выбрать уровень,Voltar para Nível Selecionar,Zurück zu Level Select,Torna al livello Seleziona,Επιστροφή στο επίπεδο Επιλέξτε,Terug naar niveau selecteren,Powrót do Wybierz poziom,Обратно към ниво Изберете,Tagasi taseme valikule,Tilbage til Vælg niveau,Takaisin tasoon Valitse,Zpět na úroveň Vyberte,Înapoi la selectarea nivelului,Nazaj na izbiro ravni,Tillbaka till Nivå Välj,Vissza a szint kiválasztására,Trở lại Level Select
BACK_TO_START_MENU,返回开始菜单,Back to Start Menu,返回“開始”選單,返回“开始”菜单,乃反菜单曰：,スタートメニューへ戻る,시작 메뉴로 돌아가기,Volver al menú Inicio,Retour au menu Démarrer,กลับไปที่เมนูเริ่มต้น,العودة إلى قائمة البدء,Вернуться в меню Пуск,Voltar ao menu Iniciar,Zurück zum Startmenü,Torna al menu Start,Επιστροφή στο μενού Start,Terug naar Startmenu,Powrót do menu Start,Обратно към менюто Старт,Tagasi Start menüüsse,Tilbage til startmenuen,Takaisin Käynnistysvalikkoon,Zpět na nabídku Start,Înapoi la meniul Start,Nazaj v začetni meni,Tillbaka till startmenyn,Vissza a Start menübe,Trở lại Start Menu
GAME_SETTINGS,游戏设置,Game Settings,遊戲設定,游戏设置,戏设戏置之。,ゲーム設定,게임 설정,Configuración del juego,Paramètres du jeu,การตั้งค่าเกม,إعدادات اللعبة,Настройки игры,Configurações do jogo,Spieleinstellungen,Impostazioni del gioco,Ρυθμίσεις παιχνιδιού,Spelinstellingen,Ustawienia gry,Настройки на играта,Mängu seaded,Spilindstillinger,Peliasetukset,Nastavení hry,Setări joc,Nastavitve igre,Spelinställningar,Játék beállítások,Cài đặt trò chơi
RESOLUTION_SETTINGS,分辨率设置,Resolution Settings,分辯率設定,分辩率设置,分辨率置辨,解像度設定,해상도 설정,Configuración de resolución,Paramètres de résolution,การตั้งค่าความละเอียด,إعدادات القرار,Настройки разрешения,Configurações de Resolução,Auflösungseinstellungen,Impostazioni risoluzione,Ρυθμίσεις ανάλυσης,Resolutie instellingen,Ustawienia rozdzielczości,Настройки на резолюцията,Resolutsiooni seaded,Opløsningsindstillinger,Resoluutioasetukset,Nastavení rozlišení,Setări de rezoluție,Nastavitve ločljivosti,Upplösningsinställningar,Felbontás beállítások,Cài đặt độ phân giải
FULLSCREEN_MODE,全屏模式,Fullscreen Mode,全螢幕模式,全银幕模式,尽俘幕次。,フルスクリーンモード,전체 화면 모드,Modo pantalla completa,Mode plein écran,โหมดเต็มจอ,وضع الشاشة الكاملة,Полноэкранный режим,modo tela cheia,Vollbildmodus,Modalità a schermo intero,Λειτουργία πλήρους οθόνης,Volledig scherm,tryb pełnoekranowy,Режим пълен екран,Täiskraani režiim,Fuldskærmtilstand,Täysnäytön tila,Režim plné obrazovky,Modul ecran întreg,Celozaslonski način,Helskärmsläge,Teljes képernyős mód,Chế độ toàn màn hình
LANGUAGE_SETTINGS,语言设置,Language Settings,語言設定,语言设置,语设,言語設定,언어 설정,Configuración del idioma,Paramètres de langue,การตั้งค่าภาษา,إعدادات اللغة,Настройки языка,Configurações de Idioma,Spracheinstellungen,Impostazioni della lingua,Ρυθμίσεις γλώσσας,Taalinstellingen,Ustawienia językowe,Настройки на езика,Keele seaded,Sprogindstillinger,Kieliasetukset,Jazykové nastavení,Setări limbă,Nastavitve jezika,Språkinställningar,Nyelvbeállítások,Cài đặt ngôn ngữ
VOLUME_SETTINGS,音量设置,Volume Settings,音量設定,音量设置,音量设,ボリューム設定,볼륨 설정,Configuración del volumen,Paramètres de volume,การตั้งค่าเสียง,إعدادات الصوت,Настройки громкости,Configurações de volume,Lautstärkeeinstellungen,Impostazioni del volume,Ρυθμίσεις όγκου,Volume instellingen,Ustawienia głośności,Настройки на звука,Helisuse seaded,Indstillinger for lydstyrke,Volumen asetukset,Nastavení hlasitosti,Setări volum,Nastavitve glasnosti,volyminställningar,hangerő beállítások,Cài đặt âm lượng
MASTER_VOLUME,主音量,Master Volume,主音量,主音量,音量,マスター ボリューム,마스터 볼륨,Volumen maestro,Volume maître,ปริมาณหลัก,حجم رئيسي,Главный объем,Volume Mestre,Mastervolumen,Volume principale,κύριος όγκος,Hoofdvolume,Główny objętość,Главен обем,Master maht,Mastervolumen,Master Volume (päämäärä),Hlavní objem,Volumul master,Glavna glasnost,Master volym,Főmennyiség,Khối lượng chính
BACKGROUND_MUSIC,背景音乐,Background Music,背景音樂,背景音乐,背景音,背景音楽,배경 음악,Música de fondo,Musique de fond,ดนตรีพื้นหลัง,الموسيقى الخلفية,Фоновая музыка,Música de fundo,Hintergrundmusik,Musica di sfondo,Μουσική υπόβαθρου,Achtergrondmuziek,Muzyka tła,Фонова музика,Taustamuusika,Baggrundsmusik,Taustamusiikki,Hudba na pozadí,Muzică de fundal,Glasba v ozadju,Bakgrundsmusik,Háttérzene,Âm nhạc nền
APPLY,应用,Apply,應用,应用,用圣适。,申請する,적용,Aplicar,Appliquer,สมัคร,تطبيق,Примениться,Aplicar,Bewerben,Applicare,Εφαρμόστε,Toepassen,Zastosuj,Приложение,Rakenda,Ansøg,Hakea,Aplikovat,Aplicați,Uporabi,Ansöka,Alkalmazás,Đăng ký
BACK,返回,Back,<返回,《返回,返。,バック,다시,Volver,Retour,กลับ,العودة,Назад,Voltar,Zurück,Torna indietro,Πίσω,Terug,Z powrotem,Назад,Tagasi,Tilbage,Takaisin,Zpět,Înapoi,Nazaj,Tillbaka,Vissza,Trở lại
SELECT_LEVEL,选择关卡,Select Level,選擇級別,拣级别,选班秩,レベルを選択,레벨 선택,Seleccionar nivel,Sélectionner le niveau,เลือกระดับ,حدد المستوى,Выберите уровень,Selecionar Nível,Ebene auswählen,Seleziona livello,Επιλέξτε επίπεδο,Niveau selecteren,Wybierz poziom,Изберете ниво,Vali tase,Vælg niveau,Valitse taso,Vyberte úroveň,Selectați nivelul,Izberite raven,Välj nivå,Válassza ki a szintet,Chọn cấp độ
LEVEL,关卡,Level,數量,数量,数,レベル,레벨,Nivel,Level,ระดับ,المستوى,Уровень,Nível,Ebene,Livello,Επίπεδο,Niveau,Poziom,Ниво,Tase,Niveau,Taso,Úroveň,Nivelul,Raven,Nivå,Szint,Mức độ
BACK_TO_MAIN_MENU,返回主菜单,Back to Main Menu,返回主菜單,返回主菜单,乃还主菜单。,メインメニューへ戻る,메인 메뉴로 돌아가기,Volver al menú principal,Retour au menu principal,กลับไปที่เมนูหลัก,العودة إلى القائمة الرئيسية,Вернуться в главное меню,Voltar ao Menu Principal,Zurück zum Hauptmenü,Torna al menu principale,Επιστροφή στο κύριο μενού,Terug naar hoofdmenu,Powrót do menu głównego,Обратно към главното меню,Tagasi peamenüüle,Tilbage til hovedmenuen,Takaisin päävalikkoon,Zpět na Hlavní menu,Înapoi la meniul principal,Nazaj v glavni meni,Tillbaka till huvudmenyn,Vissza a Főmenübe,Trở lại menu chính
SKILL_TREE_SYSTEM,技能树系统,Skill Tree System,技能樹系統,散手树系统,能树系统,スキルツリーシステム,스킬 트리 시스템,Sistema de árbol de habilidades,Système arbre de compétences,ระบบต้นไม้ทักษะ,نظام شجرة المهارات,Система дерева навыков,Sistema de Árvore de Habilidade,Skill Tree System,Sistema albero abilità,Σύστημα δέντρου δεξιοτήτων,Skill Tree systeem,System drzewa umiejętności,Система за дърво на уменията,Skill Tree süsteem,Skill Tree System,Taidon puujärjestelmä,Strom dovedností,Sistemul arborului abilităților,Sistem drevesa spretnosti,Skill Tree System,Skill Tree rendszer,Hệ thống cây kỹ năng
AVAILABLE_STARS,可用星星,Available Stars,可用星星,可用星星,其星,利用可能なスター,사용 가능한 별,Estrellas disponibles,Étoiles disponibles,ดาวที่มีอยู่,النجوم المتاحة,Доступные звезды,Estrelas disponíveis,Verfügbare Sterne,Stelle disponibili,Διαθέσιμα αστέρια,Beschikbare sterren,Dostępne gwiazdki,Налични звезди,Saadaval olevad tähed,Tilgængelige stjerner,Saatavilla olevat tähdet,Dostupné hvězdy,Stele disponibile,Razpoložljive zvezde,Tillgängliga stjärnor,Elérhető csillagok,Các ngôi sao có sẵn
USED_STARS,已用星星,Used Stars,二手星星,二手星星,二手皆星,中古スター,사용된 별,Estrellas usadas,Étoiles utilisées,ดาวที่ใช้แล้ว,نجوم مستعملة,Использованные звезды,Estrelas usadas,Gebrauchte Sterne,stelle usate,Χρησιμοποιημένα αστέρια,Gebruikte sterren,Używane gwiazdki,Използвани звезди,Kasutatud tähed,Brugte stjerner,Käytettyjä tähtiä,Použité hvězdy,Stele folosite,Uporabljene zvezde,Använda stjärnor,Használt csillagok,Các ngôi sao đã sử dụng
RESET_SKILL_TREE,重置技能树,Reset Skill Tree,重置技能樹,重置散手树,重置技木。,スキルツリーをリセットする,스킬 트리 재설정,Restablecer árbol de habilidades,Réinitialiser l'arbre de compétences,รีเซ็ตต้นไม้ทักษะ,إعادة تعيين شجرة المهارات,Сбросить дерево навыков,Redefinir árvore de habilidades,Skill Tree zurücksetzen,Resettare albero abilità,Επαναφορά δέντρου δεξιοτήτων,Reset vaardigheidsboom,Resetowanie drzewa umiejętności,Ресетиране на дървото на уменията,Reset oskuspuu,Nulstil færdighedstræ,Palauta taitopuu,Resetovat Strom dovedností,Resetați arborul abilităților,Ponastavi drevo spretnosti,Återställ färdighetsträd,Skill Tree visszaállítása,Đặt lại cây kỹ năng
NO_SKILL_DATA,该塔类型暂无技能数据,No skill data for this tower type,此塔類型沒有技能數據,此塔类型冇散手数据,此塔之类无技数也。,このタワータイプのスキルデータはありません,이 타워 유형에 대한 스킬 데이터가 없습니다.,No hay datos de habilidad para este tipo de torre,Pas de données de compétence pour ce type de tour,ไม่มีข้อมูลทักษะสำหรับประเภทหอคอนี้,لا توجد بيانات عن المهارات لهذا النوع من البرج,Нет данных о навыках для этого типа башни,Nenhum dados de habilidade para este tipo de torre,Keine Fähigkeitsdaten für diesen Turmtyp,Nessun dato di abilità per questo tipo di torre,Δεν υπάρχουν δεδομένα δεξιοτήτων για αυτόν τον τύπο πύργου,Geen vaardigheidsgegevens voor dit torentype,Brak danych o umiejętnościach dla tego typu wieży,Няма данни за уменията за този тип кула,Selle torni tüübi oskusandmeid ei ole,Ingen færdighedsdata for denne tårntype,Tämän tornityypin taitotietoja ei ole,Žádné údaje o dovednostech pro tento typ věže,Nu există date despre abilități pentru acest tip de turn,Ni podatkov o spretnosti za to vrsto stolpa,Inga färdighetsdata för denna torntyp,Nincsenek készségadatok ehhez a toronytípushoz,Không có dữ liệu kỹ năng cho loại tháp này
LEVEL_FORMAT,等级,Level,數量,数量,数,レベル,레벨,Nivel,Niveau,ระดับ,المستوى,Уровень,Nível,Ebene,Livello,Επίπεδο,Niveau,Poziom,Ниво,Tase,Niveau,Taso,Úroveň,Nivelul,Raven,Nivå,Szint,Mức độ
MAX_LEVEL,已满级,Max Level,最大液位,液位最大嘅,最为长。,最大レベル,최대 수준,Nivel máximo,niveau maximum,ระดับสูงสุด,أقصى مستوى,Максимальный уровень,Nível máximo,Maximale Ebene,Livello massimo,Μέγιστο επίπεδο,Max niveau,Maksymalny poziom,Максимално ниво,Maksimaalne tase,Maksimalt niveau,Maksimitaso,Maximální úroveň,Nivelul maxim,Največja raven,Max nivå,Max szint,Mức tối đa
UPGRADE_COST,升级,Upgrade,陞級,升,迁阶。,アップグレード,업그레이드,Actualización,Mise à niveau,อัพเกรด,ترقية,Обновление,Atualização,Aktualisieren,Aggiornamento,Αναβάθμιση,Upgraden,Aktualizacja,Обновяване,Täiendamine,Opgradering,Päivitä,Aktualizace,Actualizare,Nadgradnja,Uppgradera,Frissítés,Nâng cấp
TOWER_LEVEL,Lv.,Lv.,呂。,吕。,吕。,Lv。,Lv.,Lv.,Lv.,ลิว,لف.,Лв.,Liv.,Lv.,Lv.,Λεβ.,Lv.,Lw.,Лв.,Lv.,Lv.,Lv.,Lv.,Lv.,Lv.,Lv.,Lv-t.,Lv.
UPGRADE,升级,Upgrade,陞級,升,迁阶。,アップグレード,업그레이드,Actualización,Mise à niveau,อัพเกรด,ترقية,Обновление,Atualização,Aktualisieren,Aggiornamento,Αναβάθμιση,Upgraden,Aktualizacja,Обновяване,Täiendamine,Opgradering,Päivitä,Aktualizace,Actualizare,Nadgradnja,Uppgradera,Frissítés,Nâng cấp
DESTROY,销毁,Destroy,破壞,破坏,坏,破壊する,파괴,Destruir,Détruire,ทำลาย,تدمير,Уничтожить,Destruir,Zerstören,Distruggi,Καταστρέψτε,Vernietigen,Zniszczyć,Унищожи,Hävitada,Ødelæg,Tuhoa,Zničit,Distruge,Uniči,Förstör,Elpusztítsa,Hủy diệt
ATTRIBUTES,属性,Attributes,内容,内容,指之性也。,属性,속성,Atributos,Attributs,คุณสมบัติ,الصفات,Атрибуты,Atributos,Eigenschaften,Attributi,Χαρακτηριστικά,Eigenschappen,Atrybuty,Атрибути,Atribuudid,Egenskaber,Ominaisuudet,Atributy,Atribute,Atributi,Egenskaper,Attribútumok,Các thuộc tính
ICON_MISSING,图标\n缺失,Icon\nMissing,圖標遺失,图标赖,图标失图，,アイコンnMissing,아이콘nMissing,Icon\nMissing,IcônenManquant,ไอคอนnหายไป,أيقونةnمفقودة,ИконкаnОтсутствует,ÍconenFaltando,IconnFehlt,IconanMancante,ΕικονίδιnMissing,IcoonnMissing,IkonanBrakuje,ИконаnЛипсва,IkoonnPuudub,IkonnMangler,KuvakenPuuttuu,IkonanChybí,IconănLipsește,Manjka ikona,IkonnSaknas,IkonnHiányzik,Biểu tượngnThiếu
BASIC_TOWER,基础塔,Basic Tower,基礎塔,基础塔,基塔。,基本タワー,기본 타워,Torre básica,Tour de base,ทาวเวอร์พื้นฐาน,البرج الأساسي,Базовая башня,Torre Básica,Grundturm,Torre di base,Βασικός Πύργος,Basistoeren,Podstawowa wieża,Основна кула,Põhitorn,Grundlæggende tårn,Basic Tower -torni,Základní věž,Turnul de bază,Osnovni stolp,Grundläggande torn,Alapvető torony,Tháp cơ bản
BASIC_TOWER_DESC,射击速度缓慢的防御塔，适合对付大量弱小敌人,Slow firing tower suitable for dealing with many weak enemies,適合對付許多弱小敵人的慢射塔,啱对付好多弱质啲敌人嘅慢射塔,宜待众小敌慢射塔。,多くの弱い敵に対処するために適した遅い発射塔,많은 약한 적들을 대처하는 데 적합한 느린 사격 타워,Torre de disparo lento adecuada para hacer frente a muchos enemigos débiles,Tour de tir lente adaptée pour faire face à de nombreux ennemis faibles,หอคอยยิงช้า เหมาะสำหรับการจัดการกับศัตรูที่อ่อนแอจำนวนมาก,برج إطلاق النار البطيء مناسب للتعامل مع العديد من الأعداء الضعيفين,Медленная башня для борьбы со многими слабыми врагами,Torre de disparo lenta adequada para lidar com muitos inimigos fracos,Langsamer Schießturm geeignet für den Umgang mit vielen schwachen Feinden,Torre di fuoco lenta adatta per affrontare molti nemici deboli,Αργός πύργος πυροβολισμού κατάλληλος για την αντιμετώπιση πολλών αδύναμων εχθρών,Langzame vuurtoren geschikt voor het omgaan met veel zwakke vijanden,Wieża powolna do walki z wieloma słabymi wrogami,"Бавна кула за стрелба, подходяща за справяне с много слаби врагове",Aeglase tulistamise torn sobib paljude nõrgate vaenlastega tegelemiseks,Langsomt skydende tårn egnet til at håndtere mange svage fjender,Hitas ampumatorni sopii käsittelemään monia heikkoja vihollisia,Pomalá střílečka vhodná pro řešení mnoha slabých nepřátel,Turn de tir lent potrivit pentru a face față multor dușmani slabi,Počasen strelni stolp primeren za soočanje s številnimi šibkimi sovražniki,Långsam skjutning torn lämplig för att hantera många svaga fiender,Lass lövöldöző torony alkalmas sok gyenge ellenség kezelésére,Tháp bắn chậm phù hợp để đối phó với nhiều kẻ thù yếu
BASIC_TOWER_SPECIAL,低价格 低射速 低伤害,Low cost low fire rate low damage,低成本、低射速、低傷害,低为皮、低射速、低伤害,下成本、低射远、低伤本、射速、剧。,低コスト低火災率低損傷,저렴한 비용 저렴한 화재 비율 저렴한 손상,Bajo costo baja tasa de incendio bajo daño,Faible coût faible taux d'incendie faible dégâts,ค่าใช้จ่ายต่ำ อัตราไฟต่ำ ความเสียหายต่ำ,تكلفة منخفضة معدل حريق منخفض الضرر المنخفض,Низкая стоимость низкая скорость пожара низкий ущерб,Baixo custo baixa taxa de incêndio baixo dano,Niedrige Kosten niedrige Brandrate niedrige Schäden,Basso costo basso incendio basso danno,Χαμηλό κόστος χαμηλό ποσοστό πυρκαγιάς χαμηλή ζημία,Lage kosten lage brandsnelheid lage schade,Niski koszt niska częstotliwość pożaru niskie uszkodzenia,Ниска цена ниска скорост на пожар ниски щети,Madal hind madal tulekahju madal kahju,Lave omkostninger lav brand rate lav skade,Edulliset kustannukset alhainen palon nopeus alhainen vahinko,Nízké náklady nízká míra požáru nízké poškození,Cost scăzut rată scăzută de incendiu daune scăzute,Nizki stroški nizka stopnja požara nizka škoda,Låg kostnad låg brandfrekvens låg skada,Alacsony költség alacsony tűz arány alacsony kár,Chi phí thấp tỷ lệ cháy thấp thiệt hại thấp
FAST_TOWER,快速塔,Fast Tower,快速塔,赶塔,亟塔。,ファストタワー,빠른 타워,Torre rápida,Tour rapide,ทาวเวอร์รวดเร็ว,برج سريع,Быстрая башня,Torre Rápida,Schneller Turm,Torre veloce,Γρήγορος Πύργος,Snelle toren,Szybka wieża,Бързата кула,Kiire torn,Hurtigt tårn,Nopea torni,Rychlá věž,Turnul rapid,Hitri stolp,Snabbt torn,Gyors Torony,Tháp nhanh
